id,text,label,category1,category2,category3,category4,category5,single,groups
16,"Las zorras te insultan pero si tú les dices algo es femenicidio y hay hasta demandas pero ni aún así pueden ganar
",1,0,0,1,0,0,0,1
17,Fea esa zorra de pelo rubio,1,0,0,0,0,1,1,0
18,Callate zorra,1,0,1,0,0,0,1,0
19,¿Pregunta a los tigres? ¿Antes habían diputadas más zorras y más buenas que ahora ?,1,0,0,0,0,1,0,1
20,Bicha pendeja no se que te crees   fea,1,1,0,0,0,0,1,0
21,Pobre vieja estúpida sabes perfectamente que los precios del combustible no los controla el gobierno o acaso tenemos pozos de petróleo o plantas de sus derivados para poder tener control de esos precios fueras más fea fueras más pendeja.,1,0,1,0,0,0,1,0
22,Que necesitas una esposa y varias putas para tener balance en tu vida.,1,0,1,0,0,0,0,1
23,La burra en vez de arreglarse las tetas    se hubiera arreglado la geta.,1,0,0,0,0,1,1,0
24,Romperte el vestido y comerme esas tetas deliciosas y cogerte ahi entre todos,1,0,0,0,1,0,1,0
25,Jajajajajaja. ¿Y quien se lo dice A levantar bajas pasiones llega la Chichedipurrata con sus tetas de silicona. No nos equivocamos. Y nos lo confirma el borracho greñudo y apestoso.,1,0,0,0,0,1,1,0
26,Todo estaba bien aca en este maisal de Twitter   Pero aparecieron las feisbukeras enseñando el culo y las tetas y de jodio la cosa .,1,0,0,1,0,0,0,1
27,Si el miércoles es el #OmbliguitoDeSemana y la semana es fémina   por lo tanto me gusta más el jueves porque vendría siendo su culo o su coño   recuerden: “ya va de bajada la semana”. Si fuera para arriba serían las tetas   a mí no me gustan pero siempre es mejor el jueves.,1,1,0,0,0,0,0,1
28,"Iba a escribirle a alguien: ""muy buenas tetas y tremendo culo   muy bonitas ambas cosas” Pero ya luego te bloquean y te dicen patán y otro montón de insultos. Si subes fotos de escote con zoom en los correspondientes y luego una foto de espalda resaltando el ass ",1,0,0,1,0,0,0,1
29,"En mi libro ""jalan más un par de tetas que un par de carretas"" explico el poder que tiene la mujer sobre el hombre.",1,0,1,0,0,0,0,1
30,Invitar a salir a una mujer y que automáticamente piense que nos la queremos coger   es un pensamiento feminazi. Aunque si   pero pues no.,1,0,0,0,1,0,0,1
31,Dejen de mentir   si es un caso aislado. Muchos vivimos en paz con nuestras mujeres   no andamos buscando a quien matar   si no trabajando y estudiando para realizar nuestros sueños y salir del medio. No se pongan tóxicas   nos duele la muerte de todos pero eso es fanatismo feminazi.,1,0,0,1,0,0,0,1
32,Jajajajja una bruja en mini falda,1,1,0,0,0,0,1,0
33,...Si ustedes son las brujas que mis ancestros no pudieron quemar   entonces yo seré el inquisidor que las perseguirá hasta verlas en llamas... ¡La única bruja que porta luz es aquella que arde en una hoguera! ¡Amén!,1,0,1,0,0,0,0,1
34,Semejante GUSANO pedile perdón a  tu mamá por bruja y sapa!!,1,0,0,0,0,1,1,0
35,Vos tu madre vieja cerota.. Acabada y gustosa,1,0,0,0,0,1,1,0
36,Pero que buena esta esta bruja.,1,1,0,0,0,0,1,0
37,Jajajaja jajajaja jajajaja gran análisis de economía de está vieja bruja está está peor que la gran estudiosa de la Esen que salió con @user,1,0,0,0,0,1,1,0
38,Esta vieja bruja   @user fotoshop no la queremos ver ni en pintura; su asesora es defensora de pandielleros de la mara-13   dejaron en libertad a un pandiellero arenero condenado a 350 años de prisión por un sin fin de mueres provocadas. ,1,0,0,0,0,1,1,0
39,Es una diputada malvada e indeseable. ,1,0,0,0,0,1,1,0
40,Vieja bruja ya queria decir igual que cantinflas   el monistro y yo   jajaja se le doro el sueño jajaja,1,0,0,0,0,1,1,0
41,Xochil la mera bruja de la manzana,1,1,0,0,0,0,1,0
42,...La otra bruja con el gran lomo de cuche tapa al periodista   y como para el ocico...,1,0,0,0,0,1,1,0
43,Esa vieja bruja diabólica mejor hubiera regalado a la criaturita   viva deberían quemar semejante bestia,1,0,0,0,1,0,1,0
44,Creo que el verdadero enojo del agresor fue porque vió a su mujer salir del salón con la misma cara de bruja con la que entró. No hombre   si los salones de belleza no hacen milagros. El pobre señor de seguridad pagó los platos rotos.,1,0,0,1,0,0,1,0
45,La @user nalgas de paleta de remo ya puso a temblar a la URSS,1,0,0,0,0,1,1,0
46,"Me recuerda el chiste del novio que fué a pedirle al suegro oficialmente las nalgas de su hija. Éste   indignado le dice ""¡qué falta de respeto joven   querrá decir   la mano de mi hija!"" El joven le contesta: ""¡noooo   si de pajas ya estoy aburrido!""",1,0,1,0,0,0,0,1
47,Ustedes lo que quieren es pisar y pisar a lo vale verga para no preocuparse si salen embarazadas   ya que te saldría fácil abortarlo.,1,0,0,0,0,1,0,1
48,De nada sirve   aunque se lo lleven detenido al agresor   más noche ella misma le estará pagando el abogado y llevándole cena a la bartolina.,1,0,0,1,0,0,0,1
49,Si esa maldita pécora   tóxica exige respeto   que comience por respetar. Se creen los dueños del país y tratan al ciudadano común como basura. Esas leyes   que dizque protegen a las mujeres   son inconstitucionales pues ante la ley todos somos iguales.,1,0,0,1,0,0,1,0
50,Esta es una prostituta que presta sus servicios a la gente del puerto... la pasaron de alcohol y droga y se puso estúpida. Que pena para el sexo fuerte.,1,0,0,1,0,0,1,0
51,Los especialistas en hacer meme hagan un meme a esta Betty la fea,1,0,0,0,0,1,1,0
52,"Mujeres   llegó la hora del almuerzo y deben cocinarle a su marido   porque la Convención de Ginebra dice que:
""Todo prisionero tiene derecho a una comida caliente""",1,1,0,0,0,0,0,1
53,"Si lo vemos en perspectiva   los tacos son una comida completamente balanceada... 
- otro de lenguita amors... 
- *la bicha se emociona* 
- le decía a la mesera   bicha calenturienta",1,1,0,0,0,0,0,1
54,¿Cuántas que andan de calenturientas   que salen preñadas   dirían que fueron violadas? Cuál va hacer esa línea delgada que separa esto,1,0,0,1,0,0,0,1
55,Bueno de todo hay en la viña del señor   yo sí estoy de acuerdo con las causales de violaciones o riesgos de la madre y el niño   pero por andar de calenturienta nooo! Esas que la soquen por dundas,1,0,0,1,0,0,0,1
56,Hoy me venían acariciando el pene en el micro de la 42 ,1,0,0,0,1,0,0,1
57,Yo propongo que se sienten en un pene y dejen de joder.,1,0,0,0,1,0,0,1
58,"Muy de acuerdo... ""Poder para la vulva"" Ridículas ya veo yo pidiendo poder pal pico",1,0,0,1,0,0,0,1
59,Quieren poder para la vulva porque con el cerebro ya no pueden hacer nada. Con la inteligencia se nace y las mujeres que hicieron historia no eran vandalas ni ignorantes    destacaron por su inteligencia.,1,0,0,1,0,0,0,1
60,"Cuando sales por primera vez con la mamá luchona y le dice a la bendición “Hacele caso a tu papá sino no te va a celebrar tu cumpleaños""",1,1,0,0,0,0,0,1
61,El man ya parece   aquella nana luchona que no supera al ex que la dejó con 2 bendiciones   que son la cagada de él y que se fue con otra vieja   lo vive maldiciendo y echandole la culpa de todo lo que le pasa,1,1,0,0,0,0,0,1
62,"En algún tiempo:
—MTV daba videos musicales.
—YouTube no tenía anuncios.
—Vender la vulva aunque sea en videos   era de putas y no de una mujer luchona digna de admiración y respeto.",0,0,0,0,0,0,0,0
63,Claaaaaroo!!!  Estás opacando a esa luchona al nobrar al macho opresor...  ,1,0,0,1,0,0,0,1
64,Ver a las mujeres feministas es un chiste   creyendo que con la violencia   la fuerza y la prepotencia van a lograr algo,1,0,0,1,0,0,0,1
65,Ojala se llegue el día en el cual las mujeres en la política no se dediquen a tomarse fotos y videos y hacer comentarios bobos   que propongan con criterio propio leyes consultas con el pueblo y con la capacidad de debatir argumentativamente sus posturas,1,0,0,0,0,1,0,1
66,"Feliz día a las mujeres que exigen los mismos derechos para las mujeres y para los hombres y no “trato preferencial""    para las que quieren leyes que castiguen a los delincuentes sean quienes sean. No a la ideología de género",1,0,0,1,0,0,0,1
67,Nadie tiene derecho a joderle la vida al otro. Hay mujeres que se aprovechan de como están la leyes beneficiandolas y eso se vuelve una trampa para el hombre y eso tampoco se vale.,1,0,0,1,0,0,0,1
68,...A veces los hombres sufren y no dicen nada   con todas esas leyes las Mujeres sienten que el hombre no debe decir Nada.,1,0,0,1,0,0,0,1
69,Yo estoy contra la violencia sin importar el género. Lo que argumento es que ya existen leyes que nos protegen a todos los ciudadanos contra cualquier tipo de violencia. Este incidente es inaceptable   pero las leyes especiales lo único que hacen es empoderar a mujeres tóxicas.,1,0,0,1,0,0,0,1
70,Además de financiar al partido político @user que promueve aborto e ideología de género   @user ahora dando más muestras de su inescrupulosa forma de hacer negocios se vale de una tragedia como la guerra para publicitar sus productos.,1,0,0,1,0,0,0,1
71,"Las leyes deben basarse en la justicia y la verdad   no respondiendo a una ideología anti-científica y fallida cómo la ideología de género!
",1,0,0,1,0,0,0,1
72,Lo que genera derechos es la vida   y también es la vida la que genera obligaciones. La justicia por su naturaleza pone límites   en cambio la ideología de género quita los límites,1,0,0,1,0,0,0,1
73,Ser permisivo es la moda en todo estrato o sector público y privado   el daño a la propiedad pública y privada no es libertad de expresion sino es libertinaje   la ideología de Género ha venido a incrementar la desigualdad para dividir y restar justicia social,1,0,0,1,0,0,0,1
74,Aquí en El Salvador jamás permitiremos los disparates de la ideología de género   del feminismo y el movimiento LGBTIQ,1,0,0,1,0,0,0,1
75,Jajajaja maravilloso. Los hombres pueden disfrutar su sexualidad y una muñeca de plástico les ofrece miles de cosas. Y lo mejor   la muñeca jamás va a denunciar falsamente por acoso o violación.,1,0,0,1,0,0,0,1
76,Si meten con una se meten con todas decian las malqueridas en la campaña anterior.,1,0,0,1,0,0,0,1
77,Y las malqueridas   ¿qué pasó? ¿por qué no dicen esta bocas es mía? las que decían si se meten con una se meten con todas   ¿qué pasó?,1,0,0,1,0,0,0,1
78,Se supone que todas esas caritas son de las dignas   ya me metí en problemas y me acusarán por ser hombre y por maltrato femenil.,1,0,0,1,0,0,0,1
79,Me cagan las majes que se la llevan de dignas cuando ya todo el mundo sabe que les fascina la mazorca.,1,0,0,0,0,1,0,1
80,Cuando una mujer dice que No es NO   ni modo me tocó estudiar el doble para que no me dejara la materia,1,1,0,0,0,0,0,1
81,¿Y esta ardida? jajajaj anda pedile un mish al @user   estás falta de sexo una pizza de el Presi querías,1,0,0,0,0,1,1,0
82,Esta @user está ardida porque no la pixo @user.,1,0,0,0,0,1,1,0
83,La ardida   tóxica   bola   droga   bochinchera   pandillera   irrelevante también no tiene moral alguna,1,0,0,0,0,1,1,0
84,Yo no digo que @user sea un mal presidente   se preocupa por el pueblo   está demostrando ser un líder   lo único malo que tiene es que es muy dramático el vato   pura vieja ardida con su ex   a cada rato tweet y tweet peleando con la asamblea   ya sabemos que la asamblea es una mierda.,1,1,0,0,0,0,0,1
85,Vos sos puta estás ardida porqué no te agarraron los calzones.,1,0,0,0,0,1,1,0
86,Tu madre vieja puta   despechada porque no le dieron su hueso. Le tiraba los calzones a @user y no le hizo caso   por eso está ardida despechada.,1,0,0,0,0,1,1,0
87,Eso es dificil de creer   pero sin papeles quedas como vieja chambrosa y ardida.,1,0,0,0,0,1,1,0
88,Espero una estocada de lujo de usted @user para mandar a la droga a esa abogada ardida.,1,0,0,0,0,0,1,1
89,No hombre   a esa diva   ardida   sigue porque nuestro presidente @user NO le dió un hueso.,1,0,0,0,0,1,1,0
90,sin duda alguna es una perra ardida.,1,0,0,0,0,1,1,0
91,Es por esto que esa fea está bien ardida!,1,0,0,0,0,1,1,0
92,Ustedes de @user son como la vicha ardida de septimo grado que nunca le hicieron caso y se quedo a inventar cosas.,1,1,0,0,0,0,0,1
93,Ardida vive la toxica ,1,0,0,0,0,1,1,0
94,Esta chava   no sé para qué le prestan atención   ridícula   doble moral   feminista dice   solo porque el marido la dejó y se siente ardida.,1,0,0,0,0,1,1,0
95,En serio   que pena que ser peor que mujer ardida.,1,1,0,0,0,0,0,1
96,Si que estas ardida mujer   ya calmate deja de quejarte.,1,0,0,0,0,1,1,0
97,De mí   para la tóxica: La vida es muy corta para que te den más problemas que placer,1,0,0,0,0,1,1,0
98,Que tóxica andas Perrucha,1,0,0,0,0,1,1,0
99,Maje   solo enojada porque no le contestaba   es tóxica JAJAJAJAJAJA,1,0,0,0,0,1,1,0
100,"Mi novia anoche me dijo ""estoy sin calzones"" le dije que mañana le comprare una docena.",1,0,0,0,0,1,1,0
101,Si te digo que estoy triste   es para que me mandes fotos en calzones.,1,0,1,0,0,0,1,0
102,Si va como que si fuera vicha que se toman foto enseñando los calzones.,1,1,0,0,0,0,0,1
103,"Buenos días mis bachilleres ""oficinistas"" que se creen buenísimas   que se maquillan en el bus y usan calzones de abuela   su padre y Maestro os saluda",1,1,0,0,0,0,0,1
104,Que tengas una bonita noche   asi como las fotos en calzones que te tomás para tu ganado putita.,1,0,0,0,0,1,1,0
105,Una de estas mujeres quiero 4X4   no una Barbie de vitrina de las que pasan solo pintándose las uñas y no lava ni el plato donde come   ni los calzones   mejor le pagan a una señora para que les hagan todo   con tal de no despintarse las uñas   mis respetos a esta bella mujer.,1,1,0,0,0,0,0,1
106,Comprarle calzones de puta a una niña de 17 años y esperar que no haga nada...,1,0,0,1,0,0,0,1
107,Si tu pareja usa hilos bien socados por comodidad para ir a trabajar   y en esta cuarentena solo los calzones de abuela uso   date cuenta amigo,1,1,0,0,0,0,0,1
108,Creo que ella podría matar tu hambre y el de toda tu parentena   si habla por alguna huevona que mantiene en su casa   evalúe   porque seguro los calzones que usted le da   se los ven por otro lado.,1,0,0,0,0,1,1,0
109,Sí   ya la encontré   pero la quiero sin calzones.,1,0,0,0,1,0,0,1
110,Solo pendejadas hacen viejas revoltosas   vayan a ver que putas hacen en su casa mejor   vayan a lavar los calzones sucios.,1,0,1,0,0,0,0,1
111,Estas escuálidas creen que porque están en un programa se imaginan que son inmunes y belleza   no son esos calzones lo que son   son remendadas...,1,0,0,0,0,1,0,1
112,Calzones mata pasiones.,1,1,0,0,0,0,0,1
113,Y a vos te van a bajar los calzones todos tus maridos pasmada   vos sos la que escribir sólo estupideces y pendejadas idiota.,1,0,0,0,0,1,1,0
114,Si usted sueña con el diablo en calzones usted lo quiere es coger señora.,1,1,0,0,0,0,1,0
115,Hablo por mi madre   hermana   sobrinas y tías; las revoltosas de la marcha del domingo no representan ni al 0% de las mujeres salvadoreñas   lo que hicieron fueron prácticas de vandalismo   encabezada por la Bertoxica quien aún adolece y sufre por su pérdida.,1,0,0,1,0,0,0,1
116,Más parece chambre de viejas revoltosas   sin fundamento   tergiversado.,1,1,0,0,0,0,0,1
117,Feminazi a la vista Jajajaja de seguro eres una cualquiera de @user,1,0,0,0,0,1,1,0
118,Este tuit de la @user es culpa de la frente que se maneja   le ocupa más espacio que el cerebro...,1,0,0,0,0,1,1,0
119,A toda perra malnacida y venenosa le llegar su turno.,1,0,0,0,0,1,0,1
120,Más pendeja   venenosa y repugnante no podés ser...,1,0,0,0,0,1,1,0
121,Ya ponete a dieta @user estás tragando mucho...,1,0,1,0,0,0,1,0
122,Ardido quedó el Borracho-Drogo porque no se las prestó a él. Ni cosquillas le hubiera hecho a la Golosa Afro-Salvadoreña,1,0,0,0,0,1,1,0
123,La de rosa tiene plante de golosa,1,0,0,0,0,1,1,0
124,Si piensas que andar de bar en bar encontrarás un buen hombre mija   estás pendeja.,1,0,0,1,0,0,0,1
125,Si ya sabemos que tienes las tetas hechas pero y la cara de pendeja aún la tienes.,1,1,0,0,0,0,1,0
126,Jajajaja jajajaja jajajaja   esta loca borracha ha de estar para   hablar sandeces.,1,0,0,0,0,1,1,0
127,Pues a mí me gusta que sea borracha conmigo y que sea más puta pero solo conmigo...,1,0,1,0,0,0,0,1
128,Cara de machorra tiene.,1,1,0,0,0,0,1,0
129,Yo tengo ganas de decirle a esa gorda machorra que es un asco.,1,1,0,0,0,0,1,0
130,Aparte de vieja menopausica   lesbiana!!!,1,0,0,0,0,1,1,0
131,Mujer menopausica a la vista.,1,1,0,0,0,0,0,1
132,Vieja menopausica   falta de marido.,1,0,0,0,0,1,1,0
133,Esta @user es peor que vieja menopausica,1,1,0,0,0,0,1,0
134,"Pobre vieja menopausica...
",1,1,0,0,0,0,1,0
135,Visceral la hormonal menopausica esa.,1,1,0,0,0,0,1,0
136,El resentimiento y la frustración le estan agudizando la demencia menopausica,1,0,0,0,0,1,1,0
137,"Awwwwwwww"" menopausica exagerada hahahahahahahahaha",1,0,0,0,0,1,1,0
138,Ya esta loca esa maistra...demencia menopausica,1,0,0,0,0,1,1,0
139,Vieja loca ridícula... busca oficio que hacer mejor.,1,0,1,0,0,0,1,0
140,Busca oficio   sólo de vieja chambrosa pone dedo  pasas. ,1,0,1,0,0,0,1,0
141,Esa loquita alias la @user mal cogida   esta ya que anda en grinder buscando paloma ....,1,0,0,0,0,0,1,0
142,Está mal cogida al rato y le doy para que se este quieta,1,0,0,0,1,0,1,0
143,"Mal cogida estas vos
",1,0,0,0,0,1,1,0
144,Vaya loka   ¿con cuál te identificas? Seguí discriminando los comentarios   y repito son comentarios machistas para vos   no soy yo el machista y eso no me define como tal. Pero volvamos a lo mismo   ¿con cuál se identifican ustedes viejas fodongas?,1,0,0,1,0,0,1,0
145,"Por tu vestuario de loka
",1,0,0,1,0,0,1,0
146,Te extraño pero por pisona ya no vuelvo con vos,1,0,0,0,0,1,1,0
147,Si se llama pamela y no es pisona fracasó como mujer.,1,0,0,0,0,1,0,1
148,Típico que cortan y sales como locas desatadas en busca de nuevo masho.,1,1,0,0,0,0,0,1
149,Maldita Gorda fondonga HDP que no se apresura y la Pendeja que atiende tampoco,1,0,0,0,0,1,1,0
150,Ya se sabe el punto débil   que la enoja a esta señora   que le digan Gorda.,1,1,0,0,0,0,1,0
151,Feya la vieja esa,1,0,0,0,0,1,1,0
152,Vieja bajera malcriada pedante engreída y pa colmo feya,1,0,0,0,0,1,1,0
153,Aparte de sus fracasos como Alcaldesa de San Salvador   y como Ministra de Salud   esta vieja si que es feya!,1,0,0,0,0,1,1,0
154,Que FEYA tu esposa @user esperaba mejores gustos habiendo tantas chicas del Alianza,1,1,0,0,0,0,1,0
155,Si la señora es bien feya y modo pesado y aún así se cree diva   es una cortesía decirle un piropo,1,0,0,0,0,1,1,0
156,"Es que de forma general es muy dificil aunque no imposible   les detallo : Una mujer bien ""feya"" que quiera que un super guapo le haga caso o una Mujer Bonita que se deje de un viejo o marero   indiscutiblemente se trata de interes por dinero. Si hablamos de Amor es en otro planeta",1,1,0,0,0,0,0,1
157,Te equivocas gorda feya te están pidiendo a gritos q te vayas a la muy mierda,1,0,0,0,0,1,1,0
158,Q vieja puta mas feya!!!,1,0,0,0,0,1,1,0
159,Es como cuando no le haces caso a una puta por feya..se va con el primero que la agarre.. y despues anda hablando mierdas.,1,0,0,1,0,0,0,1
160,Si tu foto real no la pones porque sos feya con F de fundillo.,1,0,0,0,0,1,1,0
161,Pocta...asi como es de feya es de pendeja....,1,0,0,0,0,1,1,0
162,De linda ni el trasero tenes vieja feya,1,0,0,0,0,1,1,0
163,Me gustaría darte por ese trasero   fuera un placer te sentarás en mí cara.,1,0,0,0,1,0,1,0
164,Me encantaría darte asi de rico,1,0,0,0,1,0,1,0
165,puedo hacerle mcuhas cosas a ese culo tan rico,1,0,0,0,1,0,1,0
166,¿Por qué son tan bonitas y socadas?,1,1,0,0,0,0,0,1
167,Las mamas solteras son mas socadas que una chera sin hijos,1,1,0,0,0,0,0,1
168,Feas y socadas nadie las quieres... jajaja,1,1,0,0,0,0,0,1
169,Se la llevan de socadas y grandes mamonas las putas XD,1,1,0,0,0,0,0,1
170,"Hay mujeres q se la llevan de socadas.. Que ""hay yo no como platano"" ""hay yo soy virgen"" ""hay a mi nadie me toca"".. Esas son las mas putas!",1,1,0,0,0,0,0,1
171,Las niñas bonitas siempre son socadas... y las feas son ofrecidas hahahahha!,1,1,0,0,0,0,0,1
172,Aunque a veces solo se hacen las socadas y por dentro si quieren jajaja y se nota en la mirada,1,0,0,1,0,0,0,1
173,Espero despues no llore como niña lo que no defendió como hombre. ,1,1,0,0,0,0,1,0
174,Si hay pelito no hay delito,1,0,0,1,0,0,0,1
175,Si ya hizo la primera comunión   se va sin condón,1,0,0,0,1,0,0,1
176,"Así muchas mujeres! Se dejan embarazar   tiene su bendición pero dolidas porque la dejo el papá de la niña   consiguen a otro que ""medio las quiere"" y este engendro viola a la hijastra y la madre bien gracias   porque el engendro es ""el amor de su vida"" y la niña no ",1,0,0,1,0,0,0,1
177,El problema no son los hijos   son las locas de la ex mujeres nanas de esos bichos   wacalas   locas dolidas (en muchos casos que yo he visto),1,0,0,1,0,0,0,1
178,Díganles que vayan a venderle el culo que para eso si sirven,1,0,0,0,0,1,0,1
179,Ellas sí son mujeres,1,1,0,0,0,0,0,1
180,Mujer frustrada mi ministra   ni diputada y enamorada hasta la médula de nuestro Presidente. Ese amor frustrado la volvio loca ya. Pobre mujercita   cómo irá a términar.,1,0,0,0,0,1,1,0
181,Ni se quien putas es y he visto mejores.,1,0,0,0,0,1,1,0
182,Bonita puede ser pero hay otras mujeres que valen más que ella.,1,0,0,0,0,1,1,0
183,Por lo menos un sugar Daddy seguro si tendrá.,1,0,0,0,0,0,1,1
184,Ya ira la mujer a llorar para que lo saquen   a la tipa le gusta el desorden y que él la trate mal.,1,0,0,0,0,0,0,0
185,Seguro ya no la quiere y ella de necia   es que tambiem a veces las mujeres tienen la culpa   les gusta el desprecio y el maltrato… seguro que el tipo no es primera vez que se la suena…,1,0,0,1,0,0,0,1
186,Con la lástima lo sacará y le dará una santa pijiada   asi les gusta a algunas que las tengan de pendejas y golpeando   no hombre   que les pasa mujeres aviven,1,0,0,1,0,0,0,1
187,La mujer que verguio va ser la primera en pedir que lo dejen libre….,1,0,0,1,0,0,1,0
188,Ni el diablo te quiere besar. Hp.,1,0,0,0,0,1,1,0
189,Estás como una mamasota,1,0,0,0,1,0,1,0
190,Hermosas piernas,1,1,0,0,0,0,1,0
191,Bello cuerpaso BB hermosa,1,1,0,0,0,0,1,0
192,Ellas son las verdaderas feministas   ellas representan a las mujeres. No esas en tetas   axilas peludas   que rompen y mean en la vía pública!,1,0,0,0,0,1,0,1
193,Que feya ese bagre.,1,0,0,0,0,1,1,0
194,Puta y eso que no hubo alguien que le dijiera lo ridícula que se ve   como toda una morza se ve,1,0,0,0,0,1,1,0
195,Que nos importa lo que haga esta mona pizona.,1,0,0,0,0,1,1,0
196,Así como se lo metieron a tu mamá   allí estaba a la par mía mamando verga también,1,0,0,0,1,0,1,0
197,"Cómo es que una mujer tan bella   caiga en las redes de un maje como este. Adónde dejan el ""sexto sentido"" algunas mujeres.",1,1,0,0,0,0,0,1
198,Y el hombre que trabaja para ganar dinero y mantener a la esposa jaja feministas estúpidas,1,1,0,0,0,0,0,1
199,Feministas... Son tan estupidas que tratar de debatir con ellas es imposible   Asi que solo las insultare   PINCHES PUTAS ABORTERAS   BEBE SEMEN   AXILAS DE OSO   CERDAS   INÚTILES   SOLTERONAS   ESCORIAS   IDIOTAS DE PROFESIÓN Y ZORRAS POR AMOR AL ARTE... CHUPEN UN PITO VENOSO Y BLANCO!!,1,0,0,0,0,1,0,1
200,Cero dudas   las feministas son estúpidas   y cuando creo que no pueden superar lo anterior   elevan su estupidez a un nuevo nivel.,1,0,0,0,0,1,0,1
201,Las mujeres estúpidas abundan,1,0,0,0,0,1,0,1
202,Orcas y feminazis felices dándoles más atribución a violadores y pederastas. En vez de exigir la castración química o vasectomia. Mujeres estúpidas. Leyes ignorantes. En vez de abaratar costos para las mujeres y hombres infertiles que si buscan ser padres.,1,0,0,0,0,1,0,1
203,Aborto es para evitar peligros para la mujer en gestacion y o por violacion no para q las pendejas anden culiando como putas,1,0,0,0,0,1,0,1
204,Da lástima la “mujer” q hace esto   rebajarse a tanto   habiendo tantos hombres se ponen a llorar   pelear   suicidarse   etc etc por un huevo parecen pendejas.,1,0,0,0,0,1,0,1
205,Estas pendejas del orto que les gusta el puterío la re puta madre,1,0,0,0,0,1,0,1
206,No hay hombres fieles solo hay mujeres pendejas,1,0,0,0,0,1,0,1
207,Mujeres pendejas   solo sirven para cocinar,1,1,0,0,0,0,0,1
208,Mujeres pendejas. No saben ni lo que hacen   ni lo que dicen. Son pura ignorancia.,1,0,0,0,0,1,0,1
209,Las mujeres solo sirven para dos cosas.1- ser golpeadas por mi. (Macho opresor )2- cocinarme la cena. (Con comal y todo ),1,0,1,0,0,0,0,1
210,Deja los chambres para las mujeres y kuleros,1,1,0,0,0,0,0,1
211,Que Feas se ven las Mujeres Tatuadas ..,1,1,0,0,0,0,0,1
212,La mujer es como un postre europeo: Delicado   bello   apetecible   delicioso y caro... por ello debe disfrutarce cada segundo a su lado.,1,1,0,0,0,0,0,1
213,En verdad. Dios nuestro: ¿Por qué la mandaste sin cerebro?,1,0,0,0,0,1,1,0
214,Usted solo bichos para el acoston busca. Habemos los que si la trataran como princesa,1,0,0,0,0,1,1,0
215,¿TOPADA? Eso es piropo para alguien que sólo tiene una docena de neuronas. Ella es bruta.,1,0,0,0,0,1,1,0
216,Bichos ¿cuál es su piropo más creativo cuando le quieren dar vuelta a una cipota? ,1,0,0,0,1,0,0,1
217,Dichosos los que vivimos en la época donde veías una mujer guapa en la calle y le decías un piropo bonito o incluso hasta mamasita sabrosa y solo se ponían a reír y si eras afortunado te daban las gracias.,1,0,0,0,1,0,0,1
