id,text,is,single
105,Que tengas una bonita noche   asi como las fotos en calzones que te tomás para tu ganado putita.,1,1
106,Calzones mata pasiones.,1,1
107,Si usted sueña con el diablo en calzones usted lo quiere es coger señora.,1,1
108,Este tuit de la @user es culpa de la frente que se maneja   le ocupa más espacio que el cerebro...,1,1
109,A toda perra malnacida y venenosa le llegar su turno.,1,1
110,Más pendeja   venenosa y repugnante no podés ser...,1,1
111,Ya ponete a dieta @user estás tragando mucho...,1,1
112,Ardido quedó el Borracho-Drogo porque no se las prestó a él. Ni cosquillas le hubiera hecho a la Golosa Afro-Salvadoreña,1,1
113,Visceral la hormonal menopausica esa.,1,1
114,Vaya loka   ¿con cuál te identificas? Seguí discriminando los comentarios   y repito son comentarios machistas para vos   no soy yo el machista y eso no me define como tal. Pero volvamos a lo mismo   ¿con cuál se identifican ustedes viejas fodongas?,1,1
115,"Por tu vestuario de loka",1,1
116,Te extraño pero por pisona ya no vuelvo con vos,1,1
117,Si se llama pamela y no es pisona fracasó como mujer.,1,1
118,Típico que cortan y sales como locas desatadas en busca de nuevo masho.,1,1
119,Maldita Gorda fondonga HDP que no se apresura y la Pendeja que atiende tampoco,1,1
120,Ya se sabe el punto débil   que la enoja a esta señora   que le digan Gorda.,1,1
121,Aparte de sus fracasos como Alcaldesa de San Salvador   y como Ministra de Salud   esta vieja si que es feya!,1,1
122,Que FEYA tu esposa @user esperaba mejores gustos habiendo tantas chicas del Alianza,1,1
123,Si la señora es bien feya y modo pesado y aún así se cree diva   es una cortesía decirle un piropo,1,1
124,"Es que de forma general es muy dificil aunque no imposible   les detallo : Una mujer bien ""feya"" que quiera que un super guapo le haga caso o una Mujer Bonita que se deje de un viejo o marero   indiscutiblemente se trata de interes por dinero. Si hablamos de Amor es en otro planeta",1,1
125,Te equivocas gorda feya te están pidiendo a gritos q te vayas a la muy mierda,1,1
126,Q vieja puta mas feya!!!,1,1
127,Es como cuando no le haces caso a una puta por feya..se va con el primero que la agarre.. y despues anda hablando mierdas.,1,1
128,Si tu foto real no la pones porque sos feya con F de fundillo.,1,1
129,Pocta...asi como es de feya es de pendeja....,1,1
130,De linda ni el trasero tenes vieja feya,1,1
131,Me gustaría darte por ese trasero   fuera un placer te sentarás en mí cara.,1,1
132,Me encantaría darte asi de rico,1,1
133,puedo hacerle mcuhas cosas a ese culo tan rico,1,1
134,¿Por qué son tan bonitas y socadas?,1,1
135,Feas y socadas nadie las quieres... jajaja,1,1
136,Se la llevan de socadas y grandes mamonas las putas XD,1,1
137,"Hay mujeres q se la llevan de socadas.. Que ""hay yo no como platano"" ""hay yo soy virgen"" ""hay a mi nadie me toca"".. Esas son las mas putas!",1,1
138,Así como se lo metieron a tu mamá   allí estaba a la par mía mamando verga también,1,1
139,Estas pendejas del orto que les gusta el puterío la re puta madre,1,1
140,Si tienes plata es piropo   si sos acabado es acoso...,1,1
141,Ya tenés un hijo   ya nadie te va a querer así,1,1
142,Solo las mujeres son fieles,1,1
143,¿Que los hombres no sufrimos discriminación? Ja   hay empresas en las que solo contratan mujeres y ante eso nadie dice nada,1,1
144,Díganle a las feministas que estas si son verdaderas mujeres.  No solo luchan por su país   sino también por su hogar,1,1
145,El coquero y la zorra en guerra?,1,1
146,"- ¡Pelea de mancos! @user y la Colocha del @user se tiran indirectas en Twitter
- Un mes les doy para que se la ande trasquilando el bolo mañoso ya verán",1,1
147,Tanto drama.. por algo que los salvadoreño es normal gorda   seca   chele   negro   bicho   animal   cipote...,1,1
148,2 horas de pleitos y dime que te diré...pobre gorda bailadora....que devengue y empiece a trabajar...,1,1
149,A esta @user le regalaremos una barra para que Baile y un canastito de Tomates. Es Bajera! que vergüenza esa Cueva de Ratas,1,1
150,Esa cerda necesita un anillo en el hocico   mucho bla bla no más puro veneno expulsa la cerda,1,1
151,bruta.... pelionera,1,1
152,¿Para cuándo un día del hombre?,1,1
153,en pelea de marido y mujer nadie se mete,1,1
154,“Todas las mujeres nacieron para ser mamá”,1,1
155,Ser mamá es lo más lindo de ser mujer,1,1
156,Se lo buscó por andar vestida así,1,1
157,Los hombres son más razón y las mujeres más emoción,1,1
158,Esa mujer no es para casarse.,1,1
159,El patriarcado es hermoso,1,1
160,Por que debe descalificar a quien no piensa como ud? Uds siempre andan hablando del patriarcado pero si alguien no coincide con sus posturas   se portan más autoritarias que eso que reclaman,1,1
161,Ni licuadas sale una. Con el perdón que me merecen las mujeres de este medio. Pero   esto es un punto y aparte... REPITO   las disculpas del caso a las féminas del tuiter.,1,1
162,"¿Será que en sus días mozos fué ""taibolera""? Aunque por el  nombre más parece que fue bailarina de circo (nada malo en eso). Imagínense el anuncio: ""damas y caballeros y ahora   desde el lejano oriente viene a la pista para deleite de todos Uds. ¡Yaaahaaaira!",1,1
163,Cocinar es única y exclusivamente actividad que corresponde a las mujeres. Los hombres no tenemos por qué estar metidos en la cocina. ,1,1
164,Respondiendo a @user. Un artículo sexista marginativo y estigmatizante    ya q sólo incluye a la mujer dejando fuera al hombre   al niño   al adolecente y violenta el principio constitucional de igualdad de género    pobres diputados necesitan de la sala anterior.,1,1
165,"La fuente de la violencia NO ES la masculinidad   es la ignorancia   la irresponsabilidad   el abandono.
Los que atacan a una mujer o niño no lo hacen por ser masculino   lo hacen por bajeza humana y esto último se hace de cualquier pretexto para existir y autojustificarse.",1,1
166,La familia es mamá   papá e hijos...no hay diversidad de roles son únicos   el resto es acomodar lo que queremos,1,1
167,El rol de madre lo da una mujer y el rol de padre un hombre...por razones naturales,1,1
168,El padre es responsable de la provisión   de la justicia de la disciplina   el orden   la madre de la cohesión   del cuido de los recursos   del apoyo emocional   uno aporta la masculinidad el otro la feminidad... en todo caso complementariedad,1,1
169,Todo lo explicado   sin ningún respaldo bíblico   por eso la crítica   el hombre es la cabeza del hogar   así como Jesús es la cabeza de la iglesia   y el hombre debe de tratar a la mujer como vaso frágil   los hijos son guiados por ambos padres   ambos son necesarios en ambos sexos.,1,1
170,Y si la mujer genéticamente tiene testículos   próstata y expulse esperma por su pene que era clítoris   hasta ahí creeré que una mujer es hombre en pocas palabras tus derechos terminan hasta que te metes con los míos,1,1
171,Me da risa las niñas que siguen esperando que llegue el principe azul super guapo que las trate bonito sólo a ellas ellas pero ellas contestan todos los mensajes y tratan a todos de bebé   lindo   guapo y más.,1,1
172,Las mujeres son tan complicadas que cuando se les aparece el príncipe azul no es del tono de azul que ellas querian!,1,1
173,& luego te das cuenta que principe azul & barba azul son el mismo. & no puedes amarlo   a menos que ames sus dos versiones,1,1
174,Galan fuera   si te ven buen vehiculo ya vas en algo pero si andas carcacha resta puntos y asi sucesivamente se va formando el principe azul en sus ojos y mente,1,1
175,Te aseguro que si el hombre fuese soltero   ya anduvieran perriando por ofrecidas   ahí sería su príncipe azul.,1,1
176,El 95% en la barra del hotel son niñas de colegio privado con las hormonas a 100. También mucho chamaquito con papás pudientes mirando mal. Me huele a fiscal y las cárceles aquí están difíciles. Aunque tenga permiso   mejor me voy a dormir.,1,1
177,Mejor mantenga las piernas cerraditas y sepa elegir hombre no solo se deje llevar por la calentura.,1,1
178,"Una mujer cuando quiere ganarse un puesto en la vida   se enfoca y esfuerza hasta alcanzarlo; no vive esperando que llegue un hombre para que le resuelva la vida.
Hoy en día; se ha confundido la violencia en general; cuando hay un crimen en contra de una mujer.",1,1
179,Que vergüenza que una persona de su nivel se tome en serio la tontearía del relato feminista sobre el patriarcado del cual acusan al gobierno   al mismo que le piden leyes como la LEIV para que las proteja de manera privilegiada sobre los demás ciudadanos,1,1
180,Y acaso con abortar le solucionan el problema a la menor abusada? Acaso con eso el agresor nunca lo volverá hacer? Por qué no piden la pena de muerte para el violador o al pedofilo? Y que de las irresponsables que tienen sexo sin protección? En ese caso que? Abortar no soluciona!,1,1
181,si muy posible las ninas ya de 12 por parte de la falta de educacion sexual como andan calenturientas igual que los varoncitos solo abrir las patitas y ya   Aqui en la USA les dan como tarea y con calificacion el cuidar un muñeco por un mes creo   y si lo dejan llorar   pierden,1,1
182,Una noche estáva viendo un video por o en mi amaca llegó mi hijastra y se acostó en la amaca con migo puso su espalda sobre mi pecho y sus nalgitas ya saben adonde   continúe viendo el video con ella y luego. Seguimos viendo videos por momentos ella solo apretaba las piernas,1,1
183,En un cargo público debe ser puesto el más idóneo   no por lo que tiene entre las piernas! ,1,1
184,Y que cree que hacemos todos los días en este país   inundado de odio   corrupción   mafias y maras... Es un estrés ir en el bus viendo de un lado al otro   ir en carro con vidrios cerrados y sin aire. Las mujeres NO se visten Indecorosamente por que eso atrae al hombre....,1,1
185,"Las mujeres ""Bonitas"" no toman🍺   no fuman🚬   no dicen groserías",1,1
186,Ni las #mujeres son juguetes   ni los #hombres son cajeros automáticos. #sépanlo,1,1
187,Por favor no normalicemos que las mujeres somos víctimas de los hombres cuando nosotras tambien somos unas hdpt bien hechas. Maltratamos   mentimos   etc   y los hacemos sentir culpables de cosas que no son!,1,1
188,Necesitamos mujeres en la política. Las mujeres si podemos y tenemos la capacidad de transformar nuestro país,1,1
189,¿Cómo que no quieres tener hijos? Si eso es lo mejor que te puede pasar. Para eso naciste   para traer vida al mundo. Ya se te pasará a los veintitantos y verás que estabas equivocada,1,1
190,"ElSalvador | Una mujer sorprendió a su pareja con otra dentro del carro   el hombre emprendió la marcha por las calles de San Miguel con ella subida en el hood. 
Mujeres   valórense un poco más   hay millones de personas en el mundo   ¿porqué morir por una?",1,1
191,Sobre el aborto: ¿Y usted es cristiana? ¿cree en Dios?,1,1
192,Pobre solterona no encuentra un valiente se ha quedado a protestar da lástima,1,1
193,Las mujeres que buscan ser iguales a los hombres carecen de ambición.,1,1
194,perdón mujeres   pero los hombres estamos heridos,1,1
195,Bertoxica   mitad mujer   mitad vivora,1,1
196,Las mujeres. Pucta.. Complicadas... Pero quien vive sin ellas... Son únicas y no reemplazable..,1,1
197,"Hay mujeres que tocan y curan   que besan y matan  
 hay mujeres que ni cuando mienten dicen la verdad  
 hay mujeres que abren agujeros negros en el alma  
 hay mujeres que empiezan la guerra firmando la paz.",1,1
198,Tus tetas quizas siguen duritas   Pero eso tambien cambiará. Lo que tendrias qe ir viendo como vas a tratar es la falta de astusia para eso no hay maquillaje ni botox. Cria de 22 y con mañas de una momia.,1,1
199,Amargada   te falta buen sexo,1,1
200,A una usuaria: mucha putita siliconada que apenas saben hablar. Viva TCS,1,1
201,hay mujeres que por envidia o inseguridad no aceptan la belleza de otras mujeres y eso no debe ser asi,1,1
202,En gran manera multiplicaré tu dolor en el parto   con dolor darás a luz los hijos; y con todo   tu deseo será para tu marido   y él tendrá dominio sobre ti,1,1
203,Pues el hombre no debe cubrirse la cabeza   ya que él es la imagen y gloria de Dios; pero la mujer es la gloria del hombre. Porque el hombre no procede de la mujer   sino la mujer del hombre.,1,1
204,Vieja   loca y puta. El combo,1,1
205,Mujer salvadoreña que se respeta sabe hacer las respectivas pupusitas!,1,1
206,Las niñas maduran antes que los hombres,1,1
207,Yo soy hombre y la niña se me ofreció   al que le dan pan que llore,1,1
208,Los hombres siempre piensan en sexo,1,1
209,Calladita estas mas bonita,1,1
210,Con lo guapa que es   es natural que la violaran,1,1
211,A este niño hay que llevarlo a debutar,1,1
212,¿Cómo no te van a contratar con ese cuerpo? Las mujeres lo tienen todo mas facil,1,1
213,"""No te pongas esta falda""  ",1,1
214,Mujer prevenida  no le dicen mamá!,1,1
215,La mujer se tiene que dar a respetar,1,1
216,Dice que no pero queria decir que si,1,1
217,Anda falda corta   provocativa y quieren que la respetan,1,1
218,Las mujeres no saben manejar,1,1
219,Las mujeres manejan mal,1,1
220,Hay mujeres que Dios mìo   apartalas de mi camino!,1,1
221,Pero les tengo paciencia   recuerden son mujeres!,1,1
222,Tu éxito laboral depende de tu escote,1,1
223,corres como niña   tiras como niña,1,1
224,La mató por celos,1,1
225,Los piropos son machismos galantes,1,1
226,"Sería chivo ver de esas mujeres al volante y darles paso   etc. Porque con las q me he encontrado manejando   a saber q   pero ""no hacen"" maniobras inteligentes   q digamos...",1,1
227,Sino quieres que te traten los hombres como UNA CUALQUIERA   no te vistas ni te comportes COMO TAL.,1,1
228,A que mujer le gusta que le cocine su marido ?,1,1
229,Era mujer de un palabrero,1,1
230,Marimacha toda aquella desafortunada mujer de tal apariencia que nunca sería violada,1,1
231,Esta mujer pasa pendiente de mi todo el día. Son las 6 de la tarde y sigue. Después salís llorando y haciéndote la “vistima”. Desde la mañana amaneces pensando en mi y te acostas igual.,1,1
232,Cadena de oración para que esta mujer que está obsesionada conmigo encuentre otro que le guste. La película atracción fatal se queda corta.,1,1
233,"Señora...en donde poso mis nalgas   es un jardín de rosas 🌹   para dónde las pone Ud...
Mejor explíquele al país...¿Por qué su hermana recibió decenas de miles de dólares de la Partida Secreta de Tony Saca?...yo sé por qué.
No sea bajera   no por ser mujer   sino por mala política",1,1
234,Tengo una leve sospecha ... @user me va denunciar por Violencia Contra la Mujer... por violentarlo a él.,1,1
235,"Ahora que una “individua” de los suyos   suyas o suyes (acepciones aberrantes) …difama a una mujer diputada… ¿Qué harán reverendos falsos?
 
 Son mierd4…",1,1
236,¿Cree usted que discutir con @user política en Twitter es delito?...¿Cree usted que la conducta de @user de querer violar una mujer ...es comparable a discutir política en Twitter?,1,1
237,Esos juzgados especializados para los casos de Violencia contra la Mujer   son una red de favoritismos y selectividades   que operan en favor de los activismos partidarios y en pro del “feminismo radical”.,1,1
238,Ésta mujer es una roja rojita   terenguita les decimos con cariño   de esas que quieren engañar y sorprender…el video que la @user pública es del año 2010   cuando gobernaban sus líderes ladrones que hoy son Nicaragüenses.,1,1
239,Por ellos votará el pueblo...nunca con un “indefinido”...”abortista” y pusilánime como el que va por el partido que nació muerto...el partido que sacará “0” diputados…,1,1
240,La mujer del Juez,1,1
241,Y después andan chillando estas perras,1,1
242,Les gusta tirar pero cuidadito con decirles algo   de buenas políticas no tienen nada.,1,1
243,A estas viejas chusmas   tóxicas y prepotentes  les gusta ofender   insultar y cuando se les contesta   corren a poner demandas y a llamar a los derechos humanos para q las defiendan. Dan asco estas “divas” Me dán vergüenza  como mujer no me representan,1,1
244,Y cuando les contestan   allí andan haciéndose las víctimas   y poniendo demandas para enriquecerse fácilmente.,1,1
245,una burra puede finjir ser una yegua   pero tarde o temprano rebuzna ..,1,1
246,Después salen de ofendidas de maltrato a las mujeres cuando ellas son unas suripantas donde queda la igualdad y el respeto que predican esa mujer no me representa al contrario me da asco,1,1
247,Y despues te quejas que te agarramos de pato @user por odiosa q sos.,1,1
248,Las mujeres chucas   perversas   abusivas y demás   abusamos de los hombres cuando tienen nuestras piernitas de pollo sobre sus hombres   porque aprovechamos hasta para meterle todo el pie en la boca ¿no? ¿Solo yo lo hago? Ok,1,1
249,Pobrecita ella. La hicieron pedazos y no aguanto ni una. Y así quiere ser diputada? Se vio en contra de quien esta ella   de la gente y su rabieta en televisión lo demostró.,1,1
